$ filled cross
63 0 217
62 23 198
61 42 181
60 58 166
59 89 166
58 80 181
57 71 198
56 60 217
55 120 217
54 120 198
53 120 181
52 120 166
51 144 166
50 151 181
49 159 198
48 168 217
47 58 144
46 42 151
45 22 159
44 0 168
43 0 120
42 22 120
41 42 120
40 58 120
39 58 88
38 42 80
37 22 71
36 0 60
35 0 0
34 22 23
33 42 42
32 58 58
31 217 168
30 198 159
29 181 151
28 166 144
27 166 120
26 181 120
25 198 120
24 217 120
23 217 60
22 198 71
21 181 80
20 166 89
19 166 58
18 181 42
17 198 23
16 217 0
15 168 0
14 159 22
13 151 42
12 144 58
11 120 58
10 120 42
9 120 22
8 120 0
7 60 0
6 71 22
5 80 42
4 89 58
3 58 58
2 42 42
1 23 22
0 0 0
?pos_only
Mtime 82 102
Mtime_val 128 102
Mscore_val 126 81
Mscore 78 81
Sscore_val_12 164 180
Sscore_val_11 164 160
Sscore_val_10 164 141
Sscore_val_9 164 121
Sscore_val_8 164 102
Sscore_val_7 164 82
Sscore_val_6 87 180
Sscore_val_5 87 160
Sscore_val_4 87 141
Sscore_val_3 87 121
Sscore_val_2 87 102
Sscore_val_1 87 82
Sscore_name_12 123 180
Sscore_name_11 123 160
Sscore_name_10 123 141
Sscore_name_9 123 121
Sscore_name_8 123 102
Sscore_name_7 123 82
Sscore_name_6 45 180
Sscore_name_5 45 160
Sscore_name_4 45 141
Sscore_name_3 45 121
Sscore_name_2 45 102
Sscore_name_1 45 82
!heart
heart0 125 126
heart1 125 149
heart2 148 126
heart3 148 149
=other
bg 0 0
warning 85 78
pause_button 72 118
score_text 8 23
tuto_text 179 39
score_text_front 51 48
play_text 76 106
transition 0 0
